object_key,course_id,course_title,type,path,name,aliases,keywords,priority,enabled,notes,source_status
course-2:21588382bc836306,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/bytes/Readme.md,Readme.md,,,0,TRUE,,active
course-2:439765ad3d49be56,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/call-bind/.github,.github,,,0,TRUE,,active
course-2:2fb0d20fd67e6206,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/call-bind/test,test,,,0,TRUE,,active
course-2:147eb73913948936,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/call-bind/.eslintignore,.eslintignore,,,0,TRUE,,active
course-2:0c5fbd3e961da338,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/call-bind/.eslintrc,.eslintrc,,,0,TRUE,,active
course-2:ee3842c124d0061d,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/call-bind/.nycrc,.nycrc,,,0,TRUE,,active
course-2:d9a17677ea40be33,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/call-bind/CHANGELOG.md,CHANGELOG.md,,,0,TRUE,,active
course-2:59411a393a8c7157,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/call-bind/LICENSE,LICENSE,,,0,TRUE,,active
course-2:32af465cde50eb16,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/call-bind/README.md,README.md,,,0,TRUE,,active
course-2:d92cb87d734e431b,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/content-disposition/HISTORY.md,HISTORY.md,,,0,TRUE,,active
course-2:bfebd07a2a1d1fa8,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/content-disposition/LICENSE,LICENSE,,,0,TRUE,,active
course-2:54e0ea77d513b231,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/content-disposition/README.md,README.md,,,0,TRUE,,active
course-2:079d1434fca911d3,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/content-type/HISTORY.md,HISTORY.md,,,0,TRUE,,active
course-2:9b1ba1bd67636200,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/content-type/LICENSE,LICENSE,,,0,TRUE,,active
course-2:56f59a640cb48ae4,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/content-type/README.md,README.md,,,0,TRUE,,active
course-2:b07123ec22b799db,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/cookie/HISTORY.md,HISTORY.md,,,0,TRUE,,active
course-2:4cd1b05f5e692e57,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/cookie/LICENSE,LICENSE,,,0,TRUE,,active
course-2:48cc70ca10abda56,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/cookie/README.md,README.md,,,0,TRUE,,active
course-2:426f86661b0420b8,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/cookie/SECURITY.md,SECURITY.md,,,0,TRUE,,active
